Date,AAPL,BP,GE,IBM,KO
2018-02-28,44.529998779296875,38.86000061035156,84.72947692871094,148.97705078125,43.220001220703125
2018-03-01,43.75,38.939998626708984,84.18903350830078,147.04588317871094,43.43000030517578
2018-03-02,44.0525016784668,38.70000076293945,84.7895278930664,147.69598388671875,43.720001220703125
2018-03-05,44.20500183105469,39.15999984741211,86.59100341796875,150.0478057861328,43.88999938964844
2018-03-06,44.16749954223633,39.54999923706055,87.9120864868164,148.87188720703125,43.93000030517578
2018-03-07,43.75749969482422,39.310001373291016,87.1314468383789,151.35755920410156,43.81999969482422
2018-03-08,44.23500061035156,39.459999084472656,87.19149780273438,149.34034729003906,44.45000076293945
2018-03-09,44.994998931884766,39.65999984741211,89.71356201171875,152.30401611328125,44.81999969482422
2018-03-12,45.43000030517578,39.849998474121094,90.67435455322266,153.2122344970703,44.529998779296875
2018-03-13,44.99250030517578,39.54999923706055,86.65105438232422,152.31358337402344,44.56999969482422
2018-03-14,44.61000061035156,38.869998931884766,85.69026947021484,151.16635131835938,43.779998779296875
2018-03-15,44.662498474121094,39.029998779296875,86.23070526123047,152.5908203125,43.66999816894531
2018-03-16,44.505001068115234,39.47999954223633,85.93046569824219,153.2122344970703,43.459999084472656
2018-03-19,43.82500076293945,38.75,84.4892807006836,150.43020629882812,43.2599983215332
2018-03-20,43.810001373291016,39.040000915527344,81.90716552734375,149.33078002929688,43.15999984741211
2018-03-21,42.817501068115234,40.130001068115234,83.34834289550781,149.7992401123047,43.0
2018-03-22,42.212501525878906,39.029998779296875,80.16573333740234,145.4015350341797,42.7599983215332
2018-03-23,41.23500061035156,39.119998931884766,78.48435974121094,142.34225463867188,42.33000183105469
2018-03-26,43.192501068115234,40.41999816894531,77.40347290039062,146.625244140625,42.689998626708984
2018-03-27,42.084999084472656,39.970001220703125,80.7061767578125,145.2294464111328,42.88999938964844
2018-03-28,41.619998931884766,39.599998474121094,82.1473617553711,145.8126220703125,43.31999969482422
2018-03-29,41.94499969482422,40.540000915527344,80.94637298583984,146.68260192871094,43.43000030517578
2018-04-02,41.66999816894531,39.90999984741211,78.78459930419922,143.47036743164062,42.66999816894531
2018-04-03,42.09749984741211,40.709999084472656,78.84465026855469,143.26004028320312,43.380001068115234
2018-04-04,42.90250015258789,41.029998779296875,79.74539184570312,147.34225463867188,44.2400016784668
2018-04-05,43.20000076293945,41.91999816894531,80.64613342285156,147.25621032714844,44.400001525878906
2018-04-06,42.095001220703125,41.7599983215332,78.42430877685547,143.94837951660156,43.91999816894531
2018-04-09,42.51250076293945,41.65999984741211,77.04317474365234,145.9751434326172,43.83000183105469
2018-04-10,43.3125,42.779998779296875,78.3642578125,148.55641174316406,43.9900016784668
2018-04-11,43.11000061035156,43.060001373291016,77.88386535644531,148.52772521972656,43.9900016784668
2018-04-12,43.53499984741211,43.060001373291016,79.1448974609375,151.11854553222656,44.029998779296875
2018-04-13,43.682498931884766,42.959999084472656,81.00642395019531,149.818359375,44.5099983215332
2018-04-16,43.95500183105469,42.720001220703125,80.04563903808594,150.9464569091797,44.68000030517578
2018-04-17,44.560001373291016,42.650001525878906,82.80789947509766,153.83364868164062,44.880001068115234
2018-04-18,44.459999084472656,43.529998779296875,82.02725982666016,142.2466583251953,44.5099983215332
2018-04-19,43.20000076293945,43.66999816894531,84.0088882446289,141.20458984375,44.310001373291016
2018-04-20,41.43000030517578,43.5,87.31159973144531,138.52772521972656,43.7400016784668
2018-04-23,41.310001373291016,43.90999984741211,87.19149780273438,139.4455108642578,43.97999954223633
